data,ticker,preco_fechamento_ajustado,volume_negociado,ebit_ev,roic
2016-12-31,AALR3,14.45,5375545.0,0.08785,0.0589
2017-01-31,AALR3,13.75,3116406.0,0.09044,0.0589
2017-02-28,AALR3,12.56,3077805.0,0.09519,0.0589
2017-03-31,AALR3,15.41,3141709.0,0.04781,0.05517
2017-04-30,AALR3,18.32,6444929.0,0.04118,0.05517
2017-05-31,AALR3,17.49,14932008.0,0.04169,0.05656
2017-06-30,AALR3,17.3,6391038.0,0.04206,0.05656
2017-07-31,AALR3,16.81,1603211.0,0.04305,0.05656
2017-08-31,AALR3,16.17,2219898.0,0.04632,0.06155
2017-09-30,AALR3,16.8,4550730.0,0.0449,0.06155
2017-10-31,AALR3,16.12,7850458.0,0.04644,0.06155
2017-11-30,AALR3,14.89,4319884.0,0.05185,0.06408
2017-12-31,AALR3,14.6,13436527.0,0.05268,0.06408
2018-01-31,AALR3,14.73,6017472.0,0.05229,0.06408
2018-02-28,AALR3,15.25,2569919.0,0.05089,0.06408
2018-03-31,AALR3,15.88,3397718.0,0.02916,0.04969
2018-04-30,AALR3,14.31,381066.0,0.03163,0.04969
2018-05-31,AALR3,13.12,4160474.0,0.03626,0.05303
2018-06-30,AALR3,12.9,6552207.0,0.0367,0.05303
2018-07-31,AALR3,13.01,1916864.0,0.03648,0.05303
2018-08-31,AALR3,12.5,6691533.0,0.03638,0.05325
2018-09-30,AALR3,11.52,1327748.0,0.03861,0.05325
2018-10-31,AALR3,11.81,2971911.0,0.03791,0.05325
2018-11-30,AALR3,12.89,3811221.0,0.03443,0.05195
2018-12-31,AALR3,13.13,3042992.0,0.03397,0.05195
2019-01-31,AALR3,15.48,3073351.0,0.03002,0.05195
2019-02-28,AALR3,15.58,1753188.0,0.02987,0.05195
2019-03-31,AALR3,14.32,3036178.0,0.06102,0.06236
2019-04-30,AALR3,14.87,2569789.0,0.05955,0.06236
2019-05-31,AALR3,13.9,1586619.0,0.06418,0.0652
2019-06-30,AALR3,14.3,10832812.0,0.06283,0.0652
2019-07-31,AALR3,14.67,2810704.0,0.06163,0.0652
2019-08-31,AALR3,18.99,4488459.0,0.05287,0.06853
2019-09-30,AALR3,19.09,2138376.0,0.05265,0.06853
2019-10-31,AALR3,17.95,2187648.0,0.05532,0.06853
2019-11-30,AALR3,18.54,3491698.0,0.05544,0.06919
2019-12-31,AALR3,18.01,6683463.0,0.05673,0.06919
2020-01-31,AALR3,20.85,10443252.0,0.0504,0.06919
2020-02-29,AALR3,18.7,7727571.0,0.05506,0.06919
2020-03-31,AALR3,8.93,5112705.0,0.08966,0.06565
2020-04-30,AALR3,10.49,6675878.0,0.08072,0.06565
2020-05-31,AALR3,10.2,12307047.0,0.05939,0.04359
2020-06-30,AALR3,10.29,8001607.0,0.05903,0.04359
2020-07-31,AALR3,11.36,10699641.0,0.05512,0.04359
2020-08-31,AALR3,11.99,5843390.0,0.00306,-0.0043
2020-09-30,AALR3,10.15,3763596.0,0.00344,-0.0043
2020-10-31,AALR3,9.68,5108582.0,0.00355,-0.0043
2020-11-30,AALR3,10.84,4815164.0,-0.00785,-0.01554
2020-12-31,AALR3,11.1,3639217.0,-0.00772,-0.01554
2021-01-31,AALR3,10.69,3089362.0,-0.00792,-0.01554
2021-02-28,AALR3,9.01,8184369.0,-0.00888,-0.01554
2021-03-31,AALR3,9.0,3777238.0,-0.0056,-0.01412
2021-04-30,AALR3,8.84,5751637.0,-0.00566,-0.01412
2021-05-31,AALR3,12.27,34308663.0,0.0124,0.00201
2021-06-30,AALR3,11.76,26388985.0,0.01278,0.00201
2021-07-31,AALR3,10.14,6605089.0,0.01417,0.00201
2021-08-31,AALR3,12.66,59996982.0,0.05911,0.05101
2021-09-30,AALR3,11.55,7358156.0,0.06312,0.05101
2021-10-31,AALR3,14.8,10971561.0,0.05266,0.05101
2021-11-30,AALR3,18.5,21903202.0,0.05101,0.06145
2021-12-31,AALR3,14.97,16435170.0,0.05994,0.06145
2022-01-31,AALR3,16.5,7399741.0,0.05571,0.06145
2022-02-28,AALR3,16.95,8184943.0,0.05458,0.06145
2022-03-31,AALR3,17.95,7540347.0,0.03179,0.04413
2022-04-30,AALR3,19.41,14055007.0,0.02992,0.04413
2022-05-31,AALR3,20.01,9986892.0,0.0214,0.0397
2022-06-30,AALR3,19.51,10370166.0,0.02182,0.0397
2022-07-31,AALR3,20.59,6754188.0,0.02093,0.0397
2022-08-31,AALR3,20.1,3090715.0,0.01688,0.03917
2022-09-30,AALR3,20.98,3670541.0,0.0163,0.03917
2022-10-31,AALR3,21.19,6064344.0,0.01617,0.03917
2022-11-30,AALR3,20.2,13257085.0,-0.00123,0.01283
2022-12-31,AALR3,21.6,18754418.0,-0.00116,0.01283
2023-01-31,AALR3,21.39,6634724.0,-0.00117,0.01283
2023-02-28,AALR3,20.75,55889576.0,-0.0012,0.01283
2023-03-31,AALR3,22.53,2979082.0,-0.0092,-0.00895
2023-04-30,AALR3,22.85,6998537.0,-0.0091,-0.00895
2023-05-31,AALR3,22.99,6093769.0,-0.00475,-0.0108
2023-06-30,AALR3,23.8,9959410.0,-0.00463,-0.0108
2015-12-31,ABEV3,16.95,217975101.0,0.06517,0.28202
2016-01-31,ABEV3,17.72,380775815.0,0.06227,0.28202
2016-02-29,ABEV3,16.75,271527092.0,0.07034,0.28085
2016-03-31,ABEV3,17.87,314754852.0,0.06577,0.28085
2016-04-30,ABEV3,18.41,461473733.0,0.06377,0.28085
2016-05-31,ABEV3,18.15,415126791.0,0.06302,0.29762
2016-06-30,ABEV3,18.09,291170434.0,0.06322,0.29762
2016-07-31,ABEV3,17.85,613805221.0,0.06469,0.31968
2016-08-31,ABEV3,18.22,338000332.0,0.06337,0.31968
2016-09-30,ABEV3,18.82,173780407.0,0.06134,0.31968
2016-10-31,ABEV3,17.88,332650611.0,0.06108,0.30744
2016-11-30,ABEV3,16.28,351872295.0,0.06714,0.30744
2016-12-31,ABEV3,15.57,141594505.0,0.07025,0.30744
2017-01-31,ABEV3,16.33,120859968.0,0.06694,0.30744
2017-02-28,ABEV3,16.94,231879977.0,0.06451,0.30744
2017-03-31,ABEV3,17.32,224367805.0,0.06023,0.3225
2017-04-30,ABEV3,17.34,191869992.0,0.06016,0.3225
2017-05-31,ABEV3,17.77,287321166.0,0.05548,0.29514
2017-06-30,ABEV3,17.39,127741074.0,0.05671,0.29514
2017-07-31,ABEV3,18.18,292774206.0,0.05366,0.28607
2017-08-31,ABEV3,18.86,222493426.0,0.05172,0.28607
2017-09-30,ABEV3,19.98,277743699.0,0.04878,0.28607
2017-10-31,ABEV3,19.84,301583594.0,0.05078,0.2399
2017-11-30,ABEV3,19.52,505599229.0,0.05163,0.2399
2017-12-31,ABEV3,20.21,210862021.0,0.04986,0.2399
2018-01-31,ABEV3,20.84,270010818.0,0.04832,0.2399
2018-02-28,ABEV3,20.89,1383918081.0,0.0482,0.2399
2018-03-31,ABEV3,22.85,299976348.0,0.04433,0.22448
2018-04-30,ABEV3,22.15,142449119.0,0.04576,0.22448
2018-05-31,ABEV3,18.7,640477520.0,0.05451,0.20879
2018-06-30,ABEV3,17.07,240442921.0,0.05976,0.20879
2018-07-31,ABEV3,18.43,254926489.0,0.05776,0.20539
2018-08-31,ABEV3,17.9,502049896.0,0.05951,0.20539
2018-09-30,ABEV3,17.41,165995926.0,0.0612,0.20539
2018-10-31,ABEV3,15.51,441077040.0,0.0683,0.22561
